filepath,filename,page_count,keyword_context,is_handbook,error
./PDF-files/Gebäudeausrüstungs- und Versorgungstechnik/1066_07.08.2023 Wirtschaftsingenieurwesen - Energie und Gebäude.pdf,1066_07.08.2023 Wirtschaftsingenieurwesen - Energie und Gebäude.pdf,0,,False,PyCryptodome is required for AES algorithm
./PDF-files/Wirtschaftsingenieurwesen/447_05.06.2023 Wirtschaftsingenieurwesen - Energie und Gebäude.pdf,447_05.06.2023 Wirtschaftsingenieurwesen - Energie und Gebäude.pdf,0,,False,PyCryptodome is required for AES algorithm
./PDF-files/Wirtschaftsingenieurwesen/111_09-05-2023 International Business Administration and Engineering.pdf,111_09-05-2023 International Business Administration and Engineering.pdf,0,,False,PyCryptodome is required for AES algorithm
./PDF-files/Wirtschaftsingenieurwesen/106_09-05-2023 Master Innovation and Entrepreneurship.pdf,106_09-05-2023 Master Innovation and Entrepreneurship.pdf,0,,False,'/Root'
./PDF-files/Wirtschaftsingenieurwesen/278_21.05.2023 Wirtschaftsingenieurwesen.pdf,278_21.05.2023 Wirtschaftsingenieurwesen.pdf,0,,False,PyCryptodome is required for AES algorithm
./PDF-files/Verfahrenstechnik/1722_18.08.2023 Pharmazeutische Bioprozesstechnik.pdf,1722_18.08.2023 Pharmazeutische Bioprozesstechnik.pdf,0,,False,PyCryptodome is required for AES algorithm
./PDF-files/Verfahrenstechnik/1710_17.08.2023 Molekulare Biotechnologie.pdf,1710_17.08.2023 Molekulare Biotechnologie.pdf,0,,False,PyCryptodome is required for AES algorithm
./PDF-files/Verfahrenstechnik/1709_17.08.2023 Molekulare Biotechnologie.pdf,1709_17.08.2023 Molekulare Biotechnologie.pdf,0,,False,PyCryptodome is required for AES algorithm
./PDF-files/Systems Engineering/1290_24.07.2023 Systems Engineering.pdf,1290_24.07.2023 Systems Engineering.pdf,0,,False,PyCryptodome is required for AES algorithm
