filepath,filename,page_count,keyword_context,is_handbook,error
./PDF-files/Gebäudeausrüstungs- und Versorgungstechnik/1049_12.07.2023 Smart Building Engineering and Management.pdf,1049_12.07.2023 Smart Building Engineering and Management.pdf,80,"...sarbeitzuerstellen 8VerwendbarkeitdesModuls: sieheModulart 9Modulverantwortliche(r): Eppler,Thomas 10Optionale...",True,
./PDF-files/Wirtschaftsingenieurwesen/516_09.06.2023 Wirtschaftsingenieurwesen online.pdf,516_09.06.2023 Wirtschaftsingenieurwesen online.pdf,113,...Modulhandbuch Wirtschaftsingenieurwesen Bachelor Online Stand:...,True,
./PDF-files/Wirtschaftsingenieurwesen/206_16-05-2023 Wirtschaftsingenieur-in Energietechnik.pdf,206_16-05-2023 Wirtschaftsingenieur-in Energietechnik.pdf,86,...g ab WS 2019/2020                                 Modulkatalog     Bachelor studien gang  Wirtschaftsingenieur/...,True,
./PDF-files/Wirtschaftsingenieurwesen/469_06.06.2023 Wirtschaftsingenieurwesen Industrie 4.0.pdf,469_06.06.2023 Wirtschaftsingenieurwesen Industrie 4.0.pdf,86,...Modulkatalog   Wirtschaftsingenieurwese n - Bachelor of Engine...,True,
./PDF-files/Wirtschaftsingenieurwesen/505_08.06.2023 Wirtschaftsingenieurwesen Maschinenbau.pdf,505_08.06.2023 Wirtschaftsingenieurwesen Maschinenbau.pdf,1380,...Modulhandbuch    Beschreibung des Studiengangs  Wirtschaftsinge...,True,
./PDF-files/Wirtschaftsingenieurwesen/581_15.06.2023 Wirtschaftsingenieurwesen.pdf,581_15.06.2023 Wirtschaftsingenieurwesen.pdf,140,...Modulhandbuch  Wirtschaftsingenieurwesen – Ba chelor – SPO ab W...,True,
./PDF-files/Wirtschaftsingenieurwesen/430_04.06.2023 Wirtschaftsingenieurwesen.pdf,430_04.06.2023 Wirtschaftsingenieurwesen.pdf,46,...Modulhandbuch für B.Sc. Wirtschaftsingenieurwesen ET/IT ab WiSe...,True,
./PDF-files/Wirtschaftsingenieurwesen/123_10-05-2023 Intra- und Entrepreneurship (tech).pdf,123_10-05-2023 Intra- und Entrepreneurship (tech).pdf,59,...Modulhandbuch: Berufsbegleitender Weiterbildungs -  Masterstudi...,True,
./PDF-files/Wirtschaftsingenieurwesen/490_08.06.2023 Wirtschaftsingenieurwesen - Maschinenbau.pdf,490_08.06.2023 Wirtschaftsingenieurwesen - Maschinenbau.pdf,164,...Wirtschaftsingenieurwesen ­ Maschinenbau Modulhandbuch Bachelor of Science (B. Sc.) BPO 2018 03.01.2023...,True,
./PDF-files/Wirtschaftsingenieurwesen/323_24.05.2023 Wirtschaftsingenieurwesen.pdf,323_24.05.2023 Wirtschaftsingenieurwesen.pdf,302,...Modulhandbuch zum Studiengang  Bachelor-Wirtschaftsingenieurwes...,True,
