filepath,status,reason,score,matched_groups,matched_group_count
./PDF-files/Gebäudeausrüstungs- und Versorgungstechnik/1015_11.07.2023 Immobilien- und Baumanagement.pdf,scanned,,1.0,assessment;content;credits_workload;learning_outcomes;modul_title,5
./PDF-files/Gebäudeausrüstungs- und Versorgungstechnik/989_10.07.2023 Gebäudeautomation.pdf,scanned,,1.0,assessment;content;credits_workload;learning_outcomes;modul_title,5
./PDF-files/Gebäudeausrüstungs- und Versorgungstechnik/982_10.07.2023 Facility Management.pdf,scanned,,1.0,assessment;content;credits_workload;learning_outcomes;modul_title,5
./PDF-files/Gebäudeausrüstungs- und Versorgungstechnik/986_10.07.2023 Facility Management.pdf,scanned,,0.8,assessment;content;learning_outcomes;modul_title,4
./PDF-files/Gebäudeausrüstungs- und Versorgungstechnik/800_28.06.2023 Gebäudehüllen aus Metall.pdf,scanned,,1.0,assessment;content;credits_workload;learning_outcomes;modul_title,5
./PDF-files/Gebäudeausrüstungs- und Versorgungstechnik/984_10.07.2023 Facility Management.pdf,scanned,,1.0,assessment;content;credits_workload;learning_outcomes;modul_title,5
./PDF-files/Gebäudeausrüstungs- und Versorgungstechnik/995_10.07.2023 Gebäudesystemtechnik.pdf,scanned,,1.0,assessment;content;credits_workload;learning_outcomes;modul_title,5
./PDF-files/Gebäudeausrüstungs- und Versorgungstechnik/996_11.07.2023 Gebäudesystemtechnik.pdf,scanned,,1.0,assessment;content;credits_workload;learning_outcomes;modul_title,5
./PDF-files/Gebäudeausrüstungs- und Versorgungstechnik/954_09.07.2023 Anlagen- und Versorgungstechnik.pdf,scanned,,1.0,assessment;content;credits_workload;learning_outcomes;modul_title,5
./PDF-files/Gebäudeausrüstungs- und Versorgungstechnik/1045_12.07.2023 Sicherheitstechnik.pdf,scanned,,1.0,assessment;content;credits_workload;learning_outcomes;modul_title,5
./PDF-files/Gebäudeausrüstungs- und Versorgungstechnik/1041_12.07.2023 Security & Safety Engineering.pdf,scanned,,1.0,assessment;content;credits_workload;learning_outcomes;modul_title,5
./PDF-files/Gebäudeausrüstungs- und Versorgungstechnik/1034_12.07.2023 Planung nachhaltiger Gebäude.pdf,scanned,,1.0,assessment;content;credits_workload;learning_outcomes;modul_title,5
./PDF-files/Gebäudeausrüstungs- und Versorgungstechnik/789_27.06.2023 Energieeffizientes Planen und Bauen.pdf,scanned,,1.0,assessment;content;credits_workload;learning_outcomes;modul_title,5
./PDF-files/Gebäudeausrüstungs- und Versorgungstechnik/1006_11.07.2023 Geodatenmanagement.pdf,scanned,,1.0,assessment;content;credits_workload;learning_outcomes;modul_title,5
./PDF-files/Gebäudeausrüstungs- und Versorgungstechnik/1047_12.07.2023 Sicherheit und Gefahrenabwehr.pdf,scanned,,1.0,assessment;content;credits_workload;learning_outcomes;modul_title,5
./PDF-files/Gebäudeausrüstungs- und Versorgungstechnik/957_09.07.2023 Bauklimatik.pdf,scanned,,1.0,assessment;content;credits_workload;learning_outcomes;modul_title,5
./PDF-files/Gebäudeausrüstungs- und Versorgungstechnik/1031_12.07.2023 Nachhaltiges Immobilienmanagement.pdf,scanned,,1.0,assessment;content;credits_workload;learning_outcomes;modul_title,5
./PDF-files/Gebäudeausrüstungs- und Versorgungstechnik/1018_11.07.2023 Immobilien- und Facilitymanagement.pdf,scanned,,1.0,assessment;content;credits_workload;learning_outcomes;modul_title,5
./PDF-files/Gebäudeausrüstungs- und Versorgungstechnik/1003_11.07.2023 Gebäude- und Energietechnik.pdf,scanned,,1.0,assessment;content;credits_workload;learning_outcomes;modul_title,5
./PDF-files/Gebäudeausrüstungs- und Versorgungstechnik/983_10.07.2023 Facility Management.pdf,scanned,,1.0,assessment;content;credits_workload;learning_outcomes;modul_title,5
./PDF-files/Gebäudeausrüstungs- und Versorgungstechnik/987_10.07.2023 Facility Management und Immobilienwirtschaft.pdf,scanned,,0.8,assessment;content;credits_workload;modul_title,4
./PDF-files/Gebäudeausrüstungs- und Versorgungstechnik/1032_12.07.2023 Netztechnik und Netzbetrieb.pdf,scanned,,1.0,assessment;content;credits_workload;learning_outcomes;modul_title,5
./PDF-files/Gebäudeausrüstungs- und Versorgungstechnik/1066_07.08.2023 Wirtschaftsingenieurwesen - Energie und Gebäude.pdf,scanned,,1.0,assessment;content;credits_workload;learning_outcomes;modul_title,5
./PDF-files/Gebäudeausrüstungs- und Versorgungstechnik/1048_12.07.2023 Sicherheit und Gefahrenabwehr.pdf,scanned,,1.0,assessment;content;credits_workload;learning_outcomes;modul_title,5
./PDF-files/Gebäudeausrüstungs- und Versorgungstechnik/1002_11.07.2023 Gebäude- und Energietechnik.pdf,scanned,,1.0,assessment;content;credits_workload;learning_outcomes;modul_title,5
./PDF-files/Gebäudeausrüstungs- und Versorgungstechnik/1004_11.07.2023 Gebäude- und Energietechnik.pdf,scanned,,0.8,assessment;content;credits_workload;modul_title,4
./PDF-files/Gebäudeausrüstungs- und Versorgungstechnik/1012_11.07.2023 Immobilientechnik und Immobilienwirtschaft.pdf,scanned,,1.0,assessment;content;credits_workload;learning_outcomes;modul_title,5
