filepath,filename,page_count,keyword_context,is_handbook,error
./PDF-files/Gebäudeausrüstungs- und Versorgungstechnik/1005_11.07.2023 Gefahrenabwehr_Hazard Control.pdf,1005_11.07.2023 Gefahrenabwehr_Hazard Control.pdf,132,,False,
./PDF-files/Gebäudeausrüstungs- und Versorgungstechnik/963_09.07.2023 Energieeffizientes Gebäudedesign.pdf,963_09.07.2023 Energieeffizientes Gebäudedesign.pdf,102,,False,
"./PDF-files/Gebäudeausrüstungs- und Versorgungstechnik/1061_13.07.2023 Technisches Management in der Energie-, Gebäude- und Umwelttechnik.pdf","1061_13.07.2023 Technisches Management in der Energie-, Gebäude- und Umwelttechnik.pdf",205,,False,
./PDF-files/Wirtschaftsingenieurwesen/184_15-05-2023 Technologiemanagement.pdf,184_15-05-2023 Technologiemanagement.pdf,206,,False,
./PDF-files/Wirtschaftsingenieurwesen/360_26.05.2023 Wirtschaftsingenieurwesen.pdf,360_26.05.2023 Wirtschaftsingenieurwesen.pdf,81,,False,
./PDF-files/Wirtschaftsingenieurwesen/542_13.06.2023 Wirtschaftsingenieurwesen Technischer Vertrieb.pdf,542_13.06.2023 Wirtschaftsingenieurwesen Technischer Vertrieb.pdf,103,,False,
./PDF-files/Wirtschaftsingenieurwesen/52_04-05-2023 Digitale Technologien dual praxisintegrierend.pdf,52_04-05-2023 Digitale Technologien dual praxisintegrierend.pdf,42,,False,
./PDF-files/Wirtschaftsingenieurwesen/371_29.05.2023 Wirtschaftsingenieurwesen Agrar_Lebensmittel.pdf,371_29.05.2023 Wirtschaftsingenieurwesen Agrar_Lebensmittel.pdf,327,,False,
./PDF-files/Wirtschaftsingenieurwesen/51_04-05-2023 Digitale Technologien.pdf,51_04-05-2023 Digitale Technologien.pdf,42,,False,
"./PDF-files/Wirtschaftsingenieurwesen/82_08-05-2023 Entwicklung, Produktion und Management im Maschinenbau.pdf","82_08-05-2023 Entwicklung, Produktion und Management im Maschinenbau.pdf",369,,False,
./PDF-files/Wirtschaftsingenieurwesen/548_13.06.2023 Wirtschaftsingenieurwesen Teilzeit.pdf,548_13.06.2023 Wirtschaftsingenieurwesen Teilzeit.pdf,116,,False,
./PDF-files/Wirtschaftsingenieurwesen/348_26.05.2023 Wirtschaftsingenieurwesen.pdf,348_26.05.2023 Wirtschaftsingenieurwesen.pdf,59,,False,
./PDF-files/Wirtschaftsingenieurwesen/233_ 17.05.2023  Wirtschaftsingenieurwesen.pdf,233_ 17.05.2023  Wirtschaftsingenieurwesen.pdf,40,,False,
./PDF-files/Wirtschaftsingenieurwesen/483_07.06.2023 Wirtschaftsingenieurwesen - Logistik und Produktionsmanagement.pdf,483_07.06.2023 Wirtschaftsingenieurwesen - Logistik und Produktionsmanagement.pdf,53,,False,
