filepath,exists,sustainability,nachhaltigkeit,entrepreneurship,unternehmertum,handlungsorientiert,sustainability_flag,entrepreneurship_flag
"./PDF-files/Wirtschaftsingenieurwesen/393_30.05.2023 Wirtschaftsingenieurwesen, berufsbegleitend.pdf",True,False,False,False,False,False,False,False
./PDF-files/Wirtschaftsingenieurwesen/95_08-05-2023 Industrial Engineering.pdf,True,False,False,False,False,True,False,True
./PDF-files/Wirtschaftsingenieurwesen/84_08-05-2023 Erneuerbare Energien.pdf,True,False,True,True,True,False,True,True
./PDF-files/Wirtschaftsingenieurwesen/358_26.05.2023 Wirtschaftsingenieurwesen.pdf,True,False,False,False,False,False,False,False
./PDF-files/Wirtschaftsingenieurwesen/10_29-04-2023 Engineering Technisches Management.pdf,True,False,False,False,False,False,False,False
./PDF-files/Wirtschaftsingenieurwesen/117_09-05-2023 Studiengang Industrial and Business Systems.pdf,True,True,True,True,False,True,True,True
./PDF-files/Wirtschaftsingenieurwesen/951_07.07.2023 Wirtschaftsingenieurwesen - technische Fachrichtung Bauingenieurwesen.pdf,True,True,True,True,False,False,True,True
./PDF-files/Wirtschaftsingenieurwesen/431_04.06.2023 Wirtschaftsingenieurwesen Elektrotechnik und Informationstechnik.pdf,True,True,True,True,True,False,True,True
./PDF-files/Wirtschaftsingenieurwesen/134_10-05-2023 Management für Ingenieur- und Naturwissenschaften.pdf,True,False,False,False,False,False,False,False
./PDF-files/Wirtschaftsingenieurwesen/547_13.06.2023 Wirtschaftsingenieurwesen Technologie und Nachhaltigkeit.pdf,True,True,True,False,False,False,True,False
./PDF-files/Wirtschaftsingenieurwesen/111_09-05-2023 International Business Administration and Engineering.pdf,True,False,False,False,False,False,False,False
./PDF-files/Wirtschaftsingenieurwesen/492_20.08.2023 Wirtschaftsingenieurwesen_Maschinenbau.pdf,True,False,False,False,False,False,False,False
./PDF-files/Wirtschaftsingenieurwesen/442_05.06.2023 Wirtschaftsingenieurwesen - Energiesysteme.pdf,True,False,True,False,False,False,True,False
./PDF-files/Wirtschaftsingenieurwesen/524_12.06.2023 Wirtschaftsingenieurwesen Produktionstechnik.pdf,True,True,True,True,False,False,True,True
./PDF-files/Wirtschaftsingenieurwesen/391_30.05.2023 Wirtschaftsingenieurwesen (berufsbegleitend).pdf,True,False,False,False,False,False,False,False
./PDF-files/Wirtschaftsingenieurwesen/159_12-05-2023 Service Engineering.pdf,True,False,False,False,False,False,False,False
./PDF-files/Wirtschaftsingenieurwesen/288_23.05.2023 Wirtschaftsingenieurwesen.pdf,True,True,True,False,False,False,True,False
./PDF-files/Wirtschaftsingenieurwesen/17_29-04-2023 Internationales Wirtschaftsingenieurwesen.pdf,True,True,True,True,False,False,True,True
./PDF-files/Wirtschaftsingenieurwesen/309_23.05.2023 Wirtschaftsingenieurwesen.pdf,True,False,True,False,False,False,True,False
./PDF-files/Wirtschaftsingenieurwesen/355_26.05.2023 Wirtschaftsingenieurwesen.pdf,True,False,False,False,False,False,False,False
./PDF-files/Wirtschaftsingenieurwesen/229_  17.05.2023 Wirtschaftsingenieurwesen.pdf,True,True,True,True,True,False,True,True
./PDF-files/Wirtschaftsingenieurwesen/273_ 21.05.2023 Wirtschaftsingenieurwesen.pdf,True,False,False,True,False,False,False,True
./PDF-files/Wirtschaftsingenieurwesen/387_30.05.2023 Wirtschaftsingenieurwesen_Bautechnik und -management.pdf,True,False,False,False,False,False,False,False
./PDF-files/Wirtschaftsingenieurwesen/110_09-05-2023 Interkulturelles Unternehmens und Technologiemanagement.pdf,True,False,False,False,False,False,False,False
./PDF-files/Wirtschaftsingenieurwesen/31_03-05-2023 Bauingenieurwesen.pdf,True,False,True,False,False,False,True,False
./PDF-files/Wirtschaftsingenieurwesen/25_02-05-2023 Management [Bau Immobilien Infrastruktur].pdf,True,True,True,False,False,False,True,False
./PDF-files/Wirtschaftsingenieurwesen/32_03-05-2022 Baumanagement und Baubetrieb.pdf,True,False,True,False,False,False,True,False
./PDF-files/Wirtschaftsingenieurwesen/456_06.06.2023 Wirtschaftsingenieurwesen für Elektro- und Informationstechnik.pdf,True,False,False,False,False,False,False,False
./PDF-files/Wirtschaftsingenieurwesen/224_17.05.2023 Wirtschaftsingenieurwesen.pdf,True,False,False,False,False,False,False,False
./PDF-files/Wirtschaftsingenieurwesen/254_19.05.2023 Wirtschaftsingenieurwesen.pdf,True,False,False,False,False,False,False,False
./PDF-files/Wirtschaftsingenieurwesen/239_17.05.2023 Wirtschaftsingenieurwesen.pdf,True,False,True,False,False,False,True,False
./PDF-files/Wirtschaftsingenieurwesen/557_13.06.2023 Business Administration and Engineering.pdf,True,False,False,False,False,False,False,False
./PDF-files/Wirtschaftsingenieurwesen/337_ 25.05.2023 Wirtschaftsingenieurwesen.pdf,True,False,False,False,False,False,False,False
./PDF-files/Wirtschaftsingenieurwesen/518_ 12.06.2023 Wirtschaftsingenieurwesen Online.pdf,True,True,True,False,False,False,True,False
./PDF-files/Wirtschaftsingenieurwesen/265_21.05.2023 Wirtschaftsingenieurwesen.pdf,True,True,True,True,False,True,True,True
./PDF-files/Wirtschaftsingenieurwesen/88_08-05-2023 Global Foresight and Technology Management.pdf,True,True,False,True,False,False,True,True
./PDF-files/Wirtschaftsingenieurwesen/568_14.06.2023 Engineering and Management.pdf,True,True,False,True,False,False,True,True
./PDF-files/Wirtschaftsingenieurwesen/23_02-05-2023 Logistics.pdf,True,True,False,True,False,False,True,True
./PDF-files/Wirtschaftsingenieurwesen/174_12-05-2023 TECHNICAL CONSULTING UND MANAGEMENT.pdf,True,False,False,False,False,False,False,False
./PDF-files/Wirtschaftsingenieurwesen/561_13.06.2023 Business Engineering.pdf,True,False,False,False,False,False,False,False
./PDF-files/Wirtschaftsingenieurwesen/156_11-05-2023 Qualitätsingenieurwesen.pdf,True,False,False,False,False,False,False,False
./PDF-files/Wirtschaftsingenieurwesen/106_09-05-2023 Master Innovation and Entrepreneurship.pdf,True,False,False,True,False,False,False,True
./PDF-files/Wirtschaftsingenieurwesen/314_24.05.2023 Wirtschaftsingenieurwesen.pdf,True,False,True,False,False,False,True,False
./PDF-files/Wirtschaftsingenieurwesen/428_04.06.2023 Wirtschaftsingenieurwesen Elektrotechnik.pdf,True,True,True,True,False,False,True,True
./PDF-files/Wirtschaftsingenieurwesen/517_12.06.2023 Wirtschaftsingenieurwesen online.pdf,True,False,True,False,False,False,True,False
./PDF-files/Wirtschaftsingenieurwesen/368_27.05.2023 Wirtschaftsingenieurwesen.pdf,True,False,True,True,False,False,True,True
./PDF-files/Wirtschaftsingenieurwesen/225_17.05.2023 Wirtschaftsingenieurwesen.pdf,True,False,True,False,False,False,True,False
./PDF-files/Wirtschaftsingenieurwesen/16_29-04-2023 Internationales Wirtschaftsingenieurwesen.pdf,True,False,False,False,False,False,False,False
./PDF-files/Wirtschaftsingenieurwesen/525_12.06.2023 Wirtschaftsingenieurwesen Produktionstechnik.pdf,True,True,True,True,True,False,True,True
./PDF-files/Wirtschaftsingenieurwesen/105_09-05-2023 Ingenieurwissenschaften.pdf,True,False,True,True,False,False,True,True
./PDF-files/Wirtschaftsingenieurwesen/369_27.05.2023 Wirtschaftsingenieurwesen.pdf,True,False,False,False,False,False,False,False
./PDF-files/Wirtschaftsingenieurwesen/207_16-05-2023 Energie und Umweltressourcen.pdf,True,True,True,False,False,False,True,False
./PDF-files/Wirtschaftsingenieurwesen/398_01.06.2023 Wirtschaftsingenieurwesen (Bocholt).pdf,True,False,False,False,False,False,False,False
./PDF-files/Wirtschaftsingenieurwesen/529_12.06.2023 Wirtschaftsingenieurwesen Projektmanagement.pdf,True,False,False,False,False,False,False,False
./PDF-files/Wirtschaftsingenieurwesen/141_11-05-2023 Mechatronik - Schwerpunkt Digitale.pdf,True,False,False,False,False,False,False,False
./PDF-files/Wirtschaftsingenieurwesen/305_23.05.2023 Wirtschaftsingenieurwesen.pdf,True,False,True,True,False,False,True,True
./PDF-files/Wirtschaftsingenieurwesen/220_16-05-2023 Wirtschaftsingenieurwesen.pdf,True,True,True,False,False,False,True,False
./PDF-files/Wirtschaftsingenieurwesen/941_07.07.2023 Wirtschaftsingenieurwesen - Bau.pdf,True,False,True,False,False,False,True,False
./PDF-files/Wirtschaftsingenieurwesen/420_03.06.2023 Wirtschaftsingenieurwesen Elektrotechnik.pdf,True,False,False,False,False,False,False,False
./PDF-files/Wirtschaftsingenieurwesen/535_12.06.2023 Wirtschaftsingenieurwesen _Technik-Management.pdf,True,False,True,True,False,False,True,True
./PDF-files/Wirtschaftsingenieurwesen/129_10-05-2023 Management and Engineering.pdf,True,False,True,False,False,False,True,False
./PDF-files/Wirtschaftsingenieurwesen/7_30-04-2025 Energiewissenschaften.pdf,True,True,True,True,False,False,True,True
./PDF-files/Wirtschaftsingenieurwesen/133_10-05-2023 Management für Ingenieur- und Naturwissenschaften.pdf,True,False,False,False,False,False,False,False
./PDF-files/Wirtschaftsingenieurwesen/245_19.05.2023 Wirtschaftsingenieurwesen.pdf,True,False,True,False,False,False,True,False
./PDF-files/Wirtschaftsingenieurwesen/499_08.06.2023 Wirtschaftsingenieurwesen Maschinenbau.pdf,True,False,False,False,False,False,False,False
./PDF-files/Wirtschaftsingenieurwesen/326_24.05.2023 Wirtschaftsingenieurwesen.pdf,True,False,True,False,False,False,True,False
./PDF-files/Wirtschaftsingenieurwesen/178_15-05-2023 Technischer Vertrieb.pdf,True,False,True,False,False,False,True,False
./PDF-files/Wirtschaftsingenieurwesen/166_12-05-2023 Sustainable Engineering and Management.pdf,True,True,True,False,False,False,True,False
./PDF-files/Wirtschaftsingenieurwesen/69_05-05-2023 Applied Research in Engineering Sciences.pdf,True,False,False,False,False,False,False,False
./PDF-files/Wirtschaftsingenieurwesen/276_21.05.2023 Wirtschaftsingenieurwesen.pdf,True,True,True,True,False,False,True,True
./PDF-files/Wirtschaftsingenieurwesen/22_02-05-2023 International Project Engineering.pdf,True,False,False,False,False,False,False,False
./PDF-files/Wirtschaftsingenieurwesen/221_17-05-2023 Wirtschaftsingenieurwesen.pdf,True,False,True,True,False,False,True,True
./PDF-files/Wirtschaftsingenieurwesen/407_01.06.2023 Wirtschaftsingenieurwesen Digitale Wirtschaft.pdf,True,False,False,False,False,False,False,False
./PDF-files/Wirtschaftsingenieurwesen/100_08-05-2023 Industrial Engineering und Management.pdf,True,True,False,False,False,False,True,False
./PDF-files/Wirtschaftsingenieurwesen/67_05-05-2023 Angewandte Forschung und Entwicklung.pdf,True,False,False,False,False,False,False,False
./PDF-files/Wirtschaftsingenieurwesen/12_29-04-2023  Wirtschaftsingenieurwesen Bauwesen.pdf,True,False,False,False,False,False,False,False
./PDF-files/Wirtschaftsingenieurwesen/519_12.06.2023 Wirtschaftsingenieurwesen Online.pdf,True,False,True,False,False,False,True,False
./PDF-files/Wirtschaftsingenieurwesen/42_04-05-2023 Digital Business.pdf,True,False,False,True,False,False,False,True
./PDF-files/Wirtschaftsingenieurwesen/351_26.05.2023 Wirtschaftsingenieurwesen.pdf,True,False,True,False,False,False,True,False
./PDF-files/Wirtschaftsingenieurwesen/196_15-05-2023 Wirtschaftsinformatik.pdf,True,True,True,True,True,False,True,True
./PDF-files/Wirtschaftsingenieurwesen/148_11-05-2023 PRODUCT AND ASSET MANAGEMENT.pdf,True,False,False,False,False,False,False,False
./PDF-files/Wirtschaftsingenieurwesen/498_08.06.2023 Wirtschaftsingenieurwesen Maschinenbau.pdf,True,False,True,False,False,False,True,False
./PDF-files/Wirtschaftsingenieurwesen/343_25.05.2023 Wirtschaftsingenieurwesen.pdf,True,True,True,False,False,False,True,False
./PDF-files/Wirtschaftsingenieurwesen/48_04-05-2023 Digitaler Einkauf und Nachhaltiges Supply Chain Management.pdf,True,True,True,False,False,False,True,False
./PDF-files/Wirtschaftsingenieurwesen/190_15-05-2023 Internationales Vertriebs- und Einkaufsingenieurwesen.pdf,True,True,True,True,False,False,True,True
./PDF-files/Wirtschaftsingenieurwesen/298_23.05.2023 Wirtschaftsingenieurwesen.pdf,True,True,True,True,True,True,True,True
./PDF-files/Wirtschaftsingenieurwesen/18_02-05-2023 Internationales Wirtschaftsingenieurwesen.pdf,True,False,True,False,False,False,True,False
./PDF-files/Wirtschaftsingenieurwesen/403_01.06.2023 Wirtschaftsingenieurwesen Digitale Industrie.pdf,True,False,True,False,False,False,True,False
./PDF-files/Wirtschaftsingenieurwesen/91_08-05-2023 MA Immobilientechnik und Immobilienwirtschaft.pdf,True,True,True,True,True,False,True,True
./PDF-files/Wirtschaftsingenieurwesen/950_07.07.2023 Wirtschaftsingenieurwesen - Bauwirtschaft.pdf,True,False,False,False,False,False,False,False
./PDF-files/Wirtschaftsingenieurwesen/33_03-05-2023 Business and Engineering.pdf,True,True,False,True,False,False,True,True
./PDF-files/Wirtschaftsingenieurwesen/72_05-05-2023 Automotive Engineering & Management Executive.pdf,True,False,False,True,False,False,False,True
./PDF-files/Wirtschaftsingenieurwesen/419_03.06.2023 Wirtschaftsingenieurwesen Elektrotechnik.pdf,True,False,True,False,False,False,True,False
./PDF-files/Wirtschaftsingenieurwesen/576_14.06.2023 Technologiemanagement.pdf,True,False,True,True,True,False,True,True
./PDF-files/Wirtschaftsingenieurwesen/3_27-04-2023 Energiewirtschaft.pdf,True,False,False,False,False,False,False,False
./PDF-files/Wirtschaftsingenieurwesen/551_13.06.2023 Wirtschaftsingenieurwesen_Verbundstudiengang.pdf,True,False,True,True,False,False,True,True
./PDF-files/Wirtschaftsingenieurwesen/272_21.05.2023 Wirtschaftsingenieurwesen.pdf,True,True,True,True,False,False,True,True
./PDF-files/Wirtschaftsingenieurwesen/56_04-05-2023c_modulhandbuch_wi_int.pdf,True,False,True,False,True,False,True,True
./PDF-files/Wirtschaftsingenieurwesen/211_16-05-2023 Wirtschaftsingenieur in Nachhaltige Mobilität und Logistik.pdf,True,True,True,False,False,False,True,False
./PDF-files/Wirtschaftsingenieurwesen/77_05-05-2023 Berufsbegleitendes Ingenieurstudium Wirtschaftsingenieurwesen.pdf,True,False,False,False,False,False,False,False
./PDF-files/Wirtschaftsingenieurwesen/246_19.05.2023 Wirtschaftsingenieurwesen.pdf,True,False,True,True,False,False,True,True
./PDF-files/Wirtschaftsingenieurwesen/182_15-05-2023 Technisches Management und Marketing.pdf,True,False,False,False,False,False,False,False
./PDF-files/Wirtschaftsingenieurwesen/15_29-04-2023 Internationales Wirtschaftsingenieurwesen.pdf,True,False,False,False,False,False,False,False
./PDF-files/Wirtschaftsingenieurwesen/38_03-05-2023 Data and Information Science.pdf,True,False,False,False,False,False,False,False
./PDF-files/Wirtschaftsingenieurwesen/580_15.06.2023 Wirtschaftsingenieur Logistik.pdf,True,False,True,False,False,False,True,False
./PDF-files/Wirtschaftsingenieurwesen/85_08-05-2023 Facility and Process Design.pdf,True,True,True,False,False,False,True,False
./PDF-files/Wirtschaftsingenieurwesen/944_07.07.2023 Wirtschaftsingenieurwesen Bauingenieurwesen.pdf,True,True,True,False,False,False,True,False
./PDF-files/Wirtschaftsingenieurwesen/402_01.06.2023 Wirtschaftsingenieurwesen – Digital Business.pdf,True,False,False,False,False,False,False,False
./PDF-files/Wirtschaftsingenieurwesen/143_11-05-2023 Nachhaltige Entwicklung.pdf,True,True,True,False,False,False,True,False
./PDF-files/Wirtschaftsingenieurwesen/186_15-05-2023 Transportwesen  Logistik.pdf,True,False,True,True,False,False,True,True
./PDF-files/Wirtschaftsingenieurwesen/76_05-05-2023 Bau- und Immobilienmanagement  Facilities Management.pdf,True,False,True,False,False,False,True,False
./PDF-files/Wirtschaftsingenieurwesen/63_05-05-2023 Energiewirtschaft und Energiemanagement.pdf,True,False,False,False,False,False,False,False
./PDF-files/Wirtschaftsingenieurwesen/188_15-05-2023 Verkehrswirtschaftsingenieurwesen.pdf,True,False,True,True,False,False,True,True
./PDF-files/Wirtschaftsingenieurwesen/395_30.05.2023 Wirtschaftsingenieurwesen_Berufsbegleitendes Studienprogramm der Graduate School Ostwürttemberg.pdf,True,False,True,False,False,False,True,False
./PDF-files/Wirtschaftsingenieurwesen/142_11-05-2023 Mobilität und Logistik.pdf,True,False,False,False,False,False,False,False
./PDF-files/Wirtschaftsingenieurwesen/438_05.06.2023 Wirtschaftsingenieurwesen - Energiemanagement.pdf,True,True,True,False,False,False,True,False
./PDF-files/Wirtschaftsingenieurwesen/389_30.05.2023 Wirtschaftsingenieurwesen Bauwesen.pdf,True,False,False,True,False,False,False,True
./PDF-files/Wirtschaftsingenieurwesen/530_12.06.2023 Wirtschaftsingenieurwesen Recklinghausen.pdf,True,False,False,False,False,False,False,False
./PDF-files/Wirtschaftsingenieurwesen/249_19.05.2023 Wirtschaftsingenieurwesen.pdf,True,True,True,False,False,False,True,False
./PDF-files/Wirtschaftsingenieurwesen/56_04-05-2023 E-Commerce Studiengangflyer.pdf,True,False,False,False,False,False,False,False
./PDF-files/Wirtschaftsingenieurwesen/370_27.05.2023 Wirtschaftsingenieurwesen (3-semestrig).pdf,True,True,False,False,False,False,True,False
./PDF-files/Wirtschaftsingenieurwesen/71_05-05-2023 Automotive Engineering & Management.pdf,True,False,False,True,False,False,False,True
./PDF-files/Wirtschaftsingenieurwesen/310_23.05.2023 Wirtschaftsingenieurwesen.pdf,True,False,True,True,True,True,True,True
./PDF-files/Wirtschaftsingenieurwesen/120_09-05-2023 Internationales Technisches Vertriebsmanagement.pdf,True,False,False,False,False,False,False,False
./PDF-files/Wirtschaftsingenieurwesen/160_12-05-2023 Smart Building Engineering and Management.pdf,True,False,True,False,False,False,True,False
./PDF-files/Wirtschaftsingenieurwesen/158_12-05-2023 Service Engineering.pdf,True,False,False,False,False,False,False,False
./PDF-files/Wirtschaftsingenieurwesen/554_13.06.2023 Wirtschaftsingenieurwesen Werkstoff- und Prozesstechnik.pdf,True,True,True,True,False,False,True,True
./PDF-files/Wirtschaftsingenieurwesen/26_02-05-2023 Management betrieblicher Systeme.pdf,True,False,False,False,False,False,False,False
./PDF-files/Wirtschaftsingenieurwesen/81_08-05-2023 Entrepreneurship and Digital Transformation.pdf,True,False,False,True,False,False,False,True
./PDF-files/Wirtschaftsingenieurwesen/30_03-05-2023 Automobiltechnologie - Wirtschaftsingenieurwesen.pdf,True,False,True,False,False,False,True,False
./PDF-files/Wirtschaftsingenieurwesen/356_26.05.2023 Wirtschaftsingenieurwesen.pdf,True,False,True,False,False,False,True,False
./PDF-files/Wirtschaftsingenieurwesen/116_09-05-2023 Internationaler Studiengang Wirtschaftsingenieurwesen.pdf,True,False,False,False,False,False,False,False
./PDF-files/Wirtschaftsingenieurwesen/164_12-05-2023 Sustainabity and Smart Building.pdf,True,True,True,True,False,False,True,True
./PDF-files/Wirtschaftsingenieurwesen/379_29.05.2023 Wirtschaftsingenieurwesen Bau.pdf,True,False,True,False,False,False,True,False
./PDF-files/Wirtschaftsingenieurwesen/13_29-04-2023 Internationaler Studiengang Wirtschaftsingenieurwesen.pdf,True,False,False,False,False,False,False,False
./PDF-files/Wirtschaftsingenieurwesen/121_10-05-2023 INTERNATIONALES WIRTSCHAFTSINGENIEURWESEN.pdf,True,False,True,True,False,False,True,True
./PDF-files/Wirtschaftsingenieurwesen/181_15-05-2023 Technisches Innovationsund Produktmanagement.pdf,True,False,False,False,False,False,False,False
./PDF-files/Wirtschaftsingenieurwesen/147_11-05-2023 Operations Management.pdf,True,True,True,False,False,True,True,True
./PDF-files/Wirtschaftsingenieurwesen/9_29-04-2023 Engineering and Management.pdf,True,False,False,False,False,False,False,False
./PDF-files/Wirtschaftsingenieurwesen/47_04-05-2023 DIGITAL BUSINESS MANAGEMENT & ENGINEERING.pdf,True,False,False,False,False,False,False,False
./PDF-files/Wirtschaftsingenieurwesen/434_04.06.2023 Wirtschaftsingenieurwesen Elektro- und Informationstechnik.pdf,True,False,True,False,False,False,True,False
./PDF-files/Wirtschaftsingenieurwesen/507_09.06.2023 Wirtschaftsingenieurwesen - Maschinenbau _berufsbegleitendes Verbundstudium.pdf,True,False,True,True,False,False,True,True
./PDF-files/Wirtschaftsingenieurwesen/354_26.05.2023 Wirtschaftsingenieurwesen.pdf,True,False,True,False,False,False,True,False
./PDF-files/Wirtschaftsingenieurwesen/209_16-05-2023 Wirtschaftsingenieur Maschinenbau.pdf,True,False,False,False,False,False,False,False
./PDF-files/Wirtschaftsingenieurwesen/187_15-05-2023 Ingenieur- und Naturwissenschaften.pdf,True,False,False,False,False,False,False,False
./PDF-files/Wirtschaftsingenieurwesen/223_17.05.2023 Wirtschaftsingenieurwesen.pdf,True,False,False,False,False,False,False,False
./PDF-files/Wirtschaftsingenieurwesen/352_26.05.2023 Wirtschaftsingenieurwesen.pdf,True,True,True,False,False,False,True,False
./PDF-files/Wirtschaftsingenieurwesen/942_07.07.2023 Wirtschaftsingenieurwesen Bau.pdf,True,False,True,False,False,False,True,False
./PDF-files/Wirtschaftsingenieurwesen/214_16-05-2023 Wirtschaftsingenieur Maschinenbau.pdf,True,False,True,True,False,False,True,True
./PDF-files/Wirtschaftsingenieurwesen/175_12-05-2023 Technical Entrepreneurship and Innovation.pdf,True,False,False,True,True,False,False,True
./PDF-files/Wirtschaftsingenieurwesen/577_14.06.2023 Technologiemanagement.pdf,True,True,True,True,True,False,True,True
./PDF-files/Wirtschaftsingenieurwesen/40_04-05-2023 Digital Technology & Consulting.pdf,True,False,True,True,False,False,True,True
./PDF-files/Wirtschaftsingenieurwesen/330_24.05.2023 Wirtschaftsingenieurwesen.pdf,True,False,False,True,False,False,False,True
./PDF-files/Wirtschaftsingenieurwesen/251_19.05.2023 Wirtschaftsingenieurwesen.pdf,True,False,True,True,False,False,True,True
./PDF-files/Wirtschaftsingenieurwesen/313_24.05.2023 Wirtschaftsingenieurwesen.pdf,True,True,True,False,False,False,True,False
./PDF-files/Wirtschaftsingenieurwesen/539_12.06.2023 Wirtschaftsingenieurwesen - technische Fachrichtung Elektrotechnik.pdf,True,True,True,True,True,False,True,True
./PDF-files/Wirtschaftsingenieurwesen/575_14.06.2023 Technik & Unternehmensmanagement_berufsbegleitender weiterbildender Verbundstudiengang.pdf,True,False,True,False,False,False,True,False
./PDF-files/Wirtschaftsingenieurwesen/346_26.05.2023 Wirtschaftsingenieurwesen.pdf,True,False,True,True,False,False,True,True
./PDF-files/Wirtschaftsingenieurwesen/222_17-05-2023 Wirtschaftsingenieurwesen.pdf,True,False,False,False,False,False,False,False
./PDF-files/Wirtschaftsingenieurwesen/203_16-05-2023 Wirtschaftsingenieurwesen.pdf,True,True,True,False,False,False,True,False
./PDF-files/Wirtschaftsingenieurwesen/277_21.05.2023 Wirtschaftsingenieurwesen.pdf,True,False,False,False,False,False,False,False
./PDF-files/Wirtschaftsingenieurwesen/98_08-05-2023 Industrial Engineering & Management.pdf,True,True,False,True,False,False,True,True
./PDF-files/Wirtschaftsingenieurwesen/125_10-05-2023 Logistics Engineering and Management.pdf,True,False,True,False,False,False,True,False
./PDF-files/Wirtschaftsingenieurwesen/443_05.06.2023 Wirtschaftsingenieurwesen Energiesysteme mit Erneuerbaren Energien.pdf,True,True,True,False,False,False,True,False
./PDF-files/Wirtschaftsingenieurwesen/274_21.05.2023 Wirtschaftsingenieurwesen.pdf,True,True,True,False,False,False,True,False
./PDF-files/Wirtschaftsingenieurwesen/381_29.05.2023 Wirtschaftsingenieurwesen-Bau.pdf,True,True,True,False,False,False,True,False
./PDF-files/Wirtschaftsingenieurwesen/234_17.05.2023 Wirtschaftsingenieurwesen.pdf,True,False,False,False,False,False,False,False
./PDF-files/Wirtschaftsingenieurwesen/4_27-4-2023 Energiewirtschaftsingenieurwesen (Ma.Eng.).pdf,True,False,False,False,False,False,False,False
./PDF-files/Wirtschaftsingenieurwesen/413_01.06.2023 Wirtschaftsingenieurwesen dual praxisintegrierend.pdf,True,False,True,True,False,False,True,True
./PDF-files/Wirtschaftsingenieurwesen/197_15-05-2023 Wirtschaftsinformatik.pdf,True,False,True,False,False,False,True,False
./PDF-files/Wirtschaftsingenieurwesen/241_19.05.2023 Wirtschaftsingenieurwesen.pdf,True,False,True,True,False,False,True,True
./PDF-files/Wirtschaftsingenieurwesen/299_23.05.2023 Wirtschaftsingenieurwesen.pdf,True,True,True,True,False,False,True,True
./PDF-files/Wirtschaftsingenieurwesen/286_23.05.2023 Wirtschaftsingenieurwesen.pdf,True,False,False,False,False,False,False,False
./PDF-files/Wirtschaftsingenieurwesen/92_08-05-2023 Industrial Engineering.pdf,True,True,False,True,False,False,True,True
./PDF-files/Wirtschaftsingenieurwesen/465_06.06.2023 Wirtschaftsingenieurwesen - Industrial Engineering and Management.pdf,True,False,False,True,False,False,False,True
./PDF-files/Wirtschaftsingenieurwesen/495_08.06.2023 Wirtschaftsingenieurwesen Maschinenbau.pdf,True,False,False,False,False,True,False,True
./PDF-files/Wirtschaftsingenieurwesen/384_29.05.2023 Wirtschaftsingenieurwesen Bauingenieurwesen.pdf,True,False,True,False,False,True,True,True
./PDF-files/Wirtschaftsingenieurwesen/329_24.05.2023 Wirtschaftsingenieurwesen.pdf,True,False,False,True,True,True,False,True
./PDF-files/Wirtschaftsingenieurwesen/467_06.06.2023 Wirtschaftsingenieurwesen (Industrie).pdf,True,False,True,False,False,False,True,False
./PDF-files/Wirtschaftsingenieurwesen/152_11-05-2023 Produktion und Management.pdf,True,False,True,True,False,False,True,True
./PDF-files/Wirtschaftsingenieurwesen/226_17.05.2023 Wirtschaftsingenieurwesen.pdf,True,True,True,True,False,False,True,True
./PDF-files/Wirtschaftsingenieurwesen/240_17.05.2023 Wirtschaftsingenieurwesen.pdf,True,True,True,True,False,False,True,True
./PDF-files/Wirtschaftsingenieurwesen/161_12-05-2023 Smart Factory.pdf,True,False,True,False,False,False,True,False
./PDF-files/Wirtschaftsingenieurwesen/278_21.05.2023 Wirtschaftsingenieurwesen.pdf,True,False,True,True,False,True,True,True
./PDF-files/Wirtschaftsingenieurwesen/453_06.06.2023 Wirtschaftsingenieurwesen - Fachrichtung Logistik und Mobilität.pdf,True,True,False,True,False,False,True,True
./PDF-files/Wirtschaftsingenieurwesen/312_24.05.2023 Wirtschaftsingenieurwesen.pdf,True,True,True,False,False,False,True,False
./PDF-files/Wirtschaftsingenieurwesen/421_03.06.2023 Wirtschaftsingenieurwesen Elektrotechnik.pdf,True,False,True,False,False,False,True,False
./PDF-files/Wirtschaftsingenieurwesen/227_17.05.2023 Wirtschaftsingenieurwesen.pdf,True,True,True,False,False,False,True,False
./PDF-files/Wirtschaftsingenieurwesen/68_05-05-2023 Applied Research in Engineering Sciences.pdf,True,False,False,False,False,False,False,False
./PDF-files/Wirtschaftsingenieurwesen/253_19.05.2023 Wirtschaftsingenieurwesen.pdf,True,False,False,False,False,False,False,False
./PDF-files/Wirtschaftsingenieurwesen/362_27.05.2023 Wirtschaftsingenieurwesen.pdf,True,False,False,False,False,False,False,False
./PDF-files/Mechatronik/1831_22.08.2023 Mechatronik.pdf,True,False,False,False,False,False,False,False
./PDF-files/Mechatronik/1830_22.08.2023 Mechatronik.pdf,True,False,False,False,False,False,False,False
./PDF-files/Mechatronik/2082_18.09.2023  Mechatronics.pdf,True,True,False,False,False,False,True,False
./PDF-files/Mechatronik/1896_25.08.2023 Mechatronik_Feinwerktechnik.pdf,True,False,False,False,False,False,False,False
./PDF-files/Mechatronik/1897_25.08.2023 Mechatronik kompakt durch Anrechnung _MekA.pdf,True,False,False,False,False,False,False,False
./PDF-files/Mechatronik/1838_23.08.2023 Mechatronik.pdf,True,False,False,False,False,False,False,False
./PDF-files/Mechatronik/2123_19.09.2023 Smart Vehicle Systems.pdf,True,False,True,False,False,False,True,False
./PDF-files/Mechatronik/1867_24.08.2023 Mechatronik.pdf,True,False,False,False,False,False,False,False
