filepath,exists,sustainability,nachhaltigkeit,entrepreneurship,unternehmertum,handlungsorientiert,sustainability_flag,entrepreneurship_flag
./PDF-files/Gebäudeausrüstungs- und Versorgungstechnik/1045_12.07.2023 Sicherheitstechnik.pdf,True,False,True,False,False,False,True,False
./PDF-files/Gebäudeausrüstungs- und Versorgungstechnik/1041_12.07.2023 Security & Safety Engineering.pdf,True,False,False,False,False,False,False,False
./PDF-files/Gebäudeausrüstungs- und Versorgungstechnik/1034_12.07.2023 Planung nachhaltiger Gebäude.pdf,True,False,True,False,False,False,True,False
./PDF-files/Gebäudeausrüstungs- und Versorgungstechnik/789_27.06.2023 Energieeffizientes Planen und Bauen.pdf,True,True,True,True,False,False,True,True
./PDF-files/Gebäudeausrüstungs- und Versorgungstechnik/1006_11.07.2023 Geodatenmanagement.pdf,True,False,True,False,False,False,True,False
./PDF-files/Gebäudeausrüstungs- und Versorgungstechnik/1047_12.07.2023 Sicherheit und Gefahrenabwehr.pdf,True,False,False,False,False,True,False,True
./PDF-files/Gebäudeausrüstungs- und Versorgungstechnik/957_09.07.2023 Bauklimatik.pdf,True,False,True,False,False,False,True,False
./PDF-files/Gebäudeausrüstungs- und Versorgungstechnik/1031_12.07.2023 Nachhaltiges Immobilienmanagement.pdf,True,False,True,True,False,False,True,True
./PDF-files/Gebäudeausrüstungs- und Versorgungstechnik/1018_11.07.2023 Immobilien- und Facilitymanagement.pdf,True,False,True,False,False,False,True,False
./PDF-files/Gebäudeausrüstungs- und Versorgungstechnik/1003_11.07.2023 Gebäude- und Energietechnik.pdf,True,False,True,False,False,False,True,False
./PDF-files/Gebäudeausrüstungs- und Versorgungstechnik/983_10.07.2023 Facility Management.pdf,True,True,True,True,False,False,True,True
./PDF-files/Gebäudeausrüstungs- und Versorgungstechnik/987_10.07.2023 Facility Management und Immobilienwirtschaft.pdf,True,False,True,False,False,False,True,False
./PDF-files/Gebäudeausrüstungs- und Versorgungstechnik/1032_12.07.2023 Netztechnik und Netzbetrieb.pdf,True,False,False,False,False,False,False,False
./PDF-files/Gebäudeausrüstungs- und Versorgungstechnik/1066_07.08.2023 Wirtschaftsingenieurwesen - Energie und Gebäude.pdf,True,False,True,False,False,False,True,False
./PDF-files/Gebäudeausrüstungs- und Versorgungstechnik/1048_12.07.2023 Sicherheit und Gefahrenabwehr.pdf,True,False,False,False,False,False,False,False
./PDF-files/Gebäudeausrüstungs- und Versorgungstechnik/1002_11.07.2023 Gebäude- und Energietechnik.pdf,True,False,True,False,False,False,True,False
./PDF-files/Gebäudeausrüstungs- und Versorgungstechnik/1004_11.07.2023 Gebäude- und Energietechnik.pdf,True,False,False,False,False,False,False,False
./PDF-files/Gebäudeausrüstungs- und Versorgungstechnik/1012_11.07.2023 Immobilientechnik und Immobilienwirtschaft.pdf,True,False,True,False,False,False,True,False
./PDF-files/Gebäudeausrüstungs- und Versorgungstechnik/797_28.06.2023 Facility Management und Immobilienwirtschaft.pdf,True,False,True,False,False,False,True,False
./PDF-files/Gebäudeausrüstungs- und Versorgungstechnik/1023_11.07.2023 Interdisziplinäre Ingenieurwissenschaften.pdf,True,False,False,False,False,False,False,False
./PDF-files/Gebäudeausrüstungs- und Versorgungstechnik/1005_11.07.2023 Gefahrenabwehr_Hazard Control.pdf,True,False,False,False,False,False,False,False
./PDF-files/Gebäudeausrüstungs- und Versorgungstechnik/1049_12.07.2023 Smart Building Engineering and Management.pdf,True,False,True,False,False,False,True,False
./PDF-files/Gebäudeausrüstungs- und Versorgungstechnik/963_09.07.2023 Energieeffizientes Gebäudedesign.pdf,True,True,True,False,False,False,True,False
"./PDF-files/Gebäudeausrüstungs- und Versorgungstechnik/1061_13.07.2023 Technisches Management in der Energie-, Gebäude- und Umwelttechnik.pdf",True,False,True,False,False,False,True,False
./PDF-files/Wirtschaftsingenieurwesen/184_15-05-2023 Technologiemanagement.pdf,True,False,True,False,False,False,True,False
./PDF-files/Wirtschaftsingenieurwesen/360_26.05.2023 Wirtschaftsingenieurwesen.pdf,True,True,True,False,False,False,True,False
./PDF-files/Wirtschaftsingenieurwesen/542_13.06.2023 Wirtschaftsingenieurwesen Technischer Vertrieb.pdf,True,False,True,False,False,False,True,False
./PDF-files/Wirtschaftsingenieurwesen/516_09.06.2023 Wirtschaftsingenieurwesen online.pdf,True,True,True,False,False,False,True,False
./PDF-files/Wirtschaftsingenieurwesen/206_16-05-2023 Wirtschaftsingenieur-in Energietechnik.pdf,True,False,False,False,False,False,False,False
./PDF-files/Wirtschaftsingenieurwesen/52_04-05-2023 Digitale Technologien dual praxisintegrierend.pdf,True,False,True,False,False,False,True,False
./PDF-files/Wirtschaftsingenieurwesen/371_29.05.2023 Wirtschaftsingenieurwesen Agrar_Lebensmittel.pdf,True,True,True,True,False,False,True,True
./PDF-files/Wirtschaftsingenieurwesen/469_06.06.2023 Wirtschaftsingenieurwesen Industrie 4.0.pdf,True,False,True,False,False,False,True,False
./PDF-files/Wirtschaftsingenieurwesen/51_04-05-2023 Digitale Technologien.pdf,True,False,True,False,False,False,True,False
./PDF-files/Wirtschaftsingenieurwesen/505_08.06.2023 Wirtschaftsingenieurwesen Maschinenbau.pdf,True,True,True,True,False,False,True,True
"./PDF-files/Wirtschaftsingenieurwesen/82_08-05-2023 Entwicklung, Produktion und Management im Maschinenbau.pdf",True,True,True,True,False,False,True,True
./PDF-files/Wirtschaftsingenieurwesen/581_15.06.2023 Wirtschaftsingenieurwesen.pdf,True,False,True,False,False,False,True,False
./PDF-files/Wirtschaftsingenieurwesen/430_04.06.2023 Wirtschaftsingenieurwesen.pdf,True,False,False,False,False,False,False,False
./PDF-files/Wirtschaftsingenieurwesen/548_13.06.2023 Wirtschaftsingenieurwesen Teilzeit.pdf,True,False,True,False,False,False,True,False
./PDF-files/Wirtschaftsingenieurwesen/123_10-05-2023 Intra- und Entrepreneurship (tech).pdf,True,False,True,True,False,False,True,True
./PDF-files/Wirtschaftsingenieurwesen/490_08.06.2023 Wirtschaftsingenieurwesen - Maschinenbau.pdf,True,False,True,False,False,False,True,False
./PDF-files/Wirtschaftsingenieurwesen/323_24.05.2023 Wirtschaftsingenieurwesen.pdf,True,False,False,True,False,False,False,True
./PDF-files/Wirtschaftsingenieurwesen/348_26.05.2023 Wirtschaftsingenieurwesen.pdf,True,False,True,True,False,False,True,True
./PDF-files/Wirtschaftsingenieurwesen/233_ 17.05.2023  Wirtschaftsingenieurwesen.pdf,True,False,False,False,False,False,False,False
./PDF-files/Wirtschaftsingenieurwesen/483_07.06.2023 Wirtschaftsingenieurwesen - Logistik und Produktionsmanagement.pdf,True,False,False,False,False,False,False,False
./PDF-files/Wirtschaftsingenieurwesen/378_29.05.2023 Wirtschaftsingenieurwesen - Bau.pdf,True,False,True,False,False,False,True,False
./PDF-files/Wirtschaftsingenieurwesen/127_10-05-2023 Logistik.pdf,True,True,True,False,False,False,True,False
./PDF-files/Wirtschaftsingenieurwesen/135_10-05-2023 Management und Technik.pdf,True,False,False,False,False,True,False,True
./PDF-files/Wirtschaftsingenieurwesen/35_03-05-2023 Business Engineering Logistics.pdf,True,True,True,False,False,False,True,False
./PDF-files/Wirtschaftsingenieurwesen/231_17.05.2023 Wirtschaftsingenieurwesen.pdf,True,False,False,False,False,False,False,False
./PDF-files/Wirtschaftsingenieurwesen/212_16-05-2023 Wirtschaftsingenieur-in Umwelt und Nachhaltigkeit.pdf,True,True,True,False,False,False,True,False
./PDF-files/Wirtschaftsingenieurwesen/459_06.06.2023 Wirtschaftsingenieurwesen für Verfahrens- und Energietechnik.pdf,True,False,True,True,False,False,True,True
./PDF-files/Wirtschaftsingenieurwesen/36_03-05-2023 Business Management and Engineering.pdf,True,True,True,True,False,False,True,True
./PDF-files/Wirtschaftsingenieurwesen/29_03-05-2023 Agribusiness.pdf,True,False,True,False,False,False,True,False
./PDF-files/Wirtschaftsingenieurwesen/179_15-05-2023 Technisches Immobilienmanagement.pdf,True,False,True,False,False,False,True,False
./PDF-files/Wirtschaftsingenieurwesen/53_04-05-2023 Digital Industrial Management.pdf,True,False,False,False,False,False,False,False
./PDF-files/Wirtschaftsingenieurwesen/364_27.05.2023 Wirtschaftsingenieurwesen.pdf,True,False,True,True,False,False,True,True
./PDF-files/Wirtschaftsingenieurwesen/242_19.05.2023 Wirtschaftsingenieurwesen.pdf,True,False,True,False,False,False,True,False
./PDF-files/Wirtschaftsingenieurwesen/534_12.06.2023 Wirtschaftsingenieurwesen - Technikmanagement.pdf,True,False,False,False,False,False,False,False
./PDF-files/Wirtschaftsingenieurwesen/344_25.05.2023 Wirtschaftsingenieurwesen.pdf,True,False,False,False,False,False,False,False
./PDF-files/Wirtschaftsingenieurwesen/20_02-05-2023 Internationales_Wirtschaftsingenieurwesen.pdf,True,False,False,False,False,False,False,False
./PDF-files/Wirtschaftsingenieurwesen/455_06.06.2023 Wirtschaftsingenieurwesen für Elektrotechnik und Informationstechnik.pdf,True,False,False,False,False,False,False,False
./PDF-files/Wirtschaftsingenieurwesen/340_25.05.2023 Wirtschaftsingenieurwesen.pdf,True,False,True,True,False,False,True,True
./PDF-files/Wirtschaftsingenieurwesen/342_25.05.2023 Wirtschaftsingenieurwesen.pdf,True,False,True,True,False,False,True,True
./PDF-files/Wirtschaftsingenieurwesen/405_01.06.2023 Wirtschaftsingenieurwesen - Digital Engineering & Management.pdf,True,False,True,False,False,False,True,False
./PDF-files/Wirtschaftsingenieurwesen/202_16-05-2023 Wirtschaftsingenieurwesen.pdf,True,True,True,False,False,False,True,False
./PDF-files/Wirtschaftsingenieurwesen/300_23.05.2023 Wirtschaftsingenieurwesen.pdf,True,False,True,True,False,False,True,True
./PDF-files/Wirtschaftsingenieurwesen/70_05-05-2023 Applied Research in Engineering Sciences.pdf,True,False,False,True,False,False,False,True
./PDF-files/Wirtschaftsingenieurwesen/238_17.05.2023 Wirtschaftsingenieurwesen.pdf,True,True,False,True,False,True,True,True
./PDF-files/Wirtschaftsingenieurwesen/396_30.05.2023 Wirtschaftsingenieurwesen_Berufsbegleitendes Studienprogramm des Graduate Campus Hochschule Aalen.pdf,True,False,True,True,False,True,True,True
./PDF-files/Wirtschaftsingenieurwesen/183_15-05-2023 Technologie-Entrepreneurship.pdf,True,False,False,True,True,False,False,True
./PDF-files/Wirtschaftsingenieurwesen/447_05.06.2023 Wirtschaftsingenieurwesen - Energie und Gebäude.pdf,True,False,True,False,False,False,True,False
./PDF-files/Wirtschaftsingenieurwesen/8_29-04-2023 Engineering and Management.pdf,True,True,True,True,False,False,True,True
./PDF-files/Wirtschaftsingenieurwesen/60_04-05-2023 MA Energiewirtschaft.pdf,True,False,False,False,False,False,False,False
./PDF-files/Wirtschaftsingenieurwesen/347_26.05.2023 Wirtschaftsingenieurwesen.pdf,True,False,False,False,False,False,False,False
./PDF-files/Wirtschaftsingenieurwesen/2_27-04-2023 wirtschaftsingenieurwesen-industrie-40.pdf,True,False,True,False,False,False,True,False
./PDF-files/Wirtschaftsingenieurwesen/339_25.05.2023 Wirtschaftsingenieurwesen.pdf,True,False,False,False,False,False,False,False
./PDF-files/Wirtschaftsingenieurwesen/462_06.06.2023 Wirtschaftsingenieurwesen - Geoinformation.pdf,True,False,True,False,False,False,True,False
./PDF-files/Wirtschaftsingenieurwesen/377_29.05.2023 Wirtschaftsingenieurwesen (Bau).pdf,True,True,False,False,False,False,True,False
./PDF-files/Wirtschaftsingenieurwesen/28_02-05-2023 Maschinenbau.pdf,True,False,True,False,False,False,True,False
./PDF-files/Wirtschaftsingenieurwesen/427_04.06.2023 Wirtschaftsingenieurwesen Elektrotechnik.pdf,True,False,True,True,False,True,True,True
./PDF-files/Wirtschaftsingenieurwesen/552_13.06.2023 Wirtschaftsingenieurwesen_weiterbildender Studiengang.pdf,True,False,True,True,False,False,True,True
./PDF-files/Wirtschaftsingenieurwesen/538_12.06.2023 Wirtschaftsingenieurwesen - technische Fachrichtung Elektrotechnik.pdf,True,False,False,True,False,False,False,True
./PDF-files/Wirtschaftsingenieurwesen/952_07.07.2023 Wirtschaftsingenieurwesen - technische Fachrichtung Bauingenieurwesen.pdf,True,True,True,True,True,False,True,True
./PDF-files/Wirtschaftsingenieurwesen/56_04-05-2023b_modulhandbuch_wi_ener.pdf,True,False,True,False,False,False,True,False
./PDF-files/Wirtschaftsingenieurwesen/215_16-05-2023 Wirtschaftsingenieur Maschinenbau.pdf,True,False,False,False,False,False,False,False
./PDF-files/Wirtschaftsingenieurwesen/267_21.05.2023 Wirtschaftsingenieurwesen.pdf,True,True,True,False,False,True,True,True
./PDF-files/Wirtschaftsingenieurwesen/947_07.07.2023 Wirtschaftsingenieurwesen Bautechnik und -management.pdf,True,False,False,False,False,False,False,False
./PDF-files/Wirtschaftsingenieurwesen/275_21.05.2023 Wirtschaftsingenieurwesen.pdf,True,False,True,False,False,False,True,False
./PDF-files/Wirtschaftsingenieurwesen/108_09-05-2023 Integrated Design Engineering.pdf,True,False,True,False,False,False,True,False
./PDF-files/Wirtschaftsingenieurwesen/189_15-05-2023 Vertriebsingenieur in.pdf,True,False,True,True,False,True,True,True
./PDF-files/Wirtschaftsingenieurwesen/128_10-05-2023 Logistikmanagement.pdf,True,True,True,False,False,True,True,True
./PDF-files/Wirtschaftsingenieurwesen/213_ 16-05-2023 Wirtschaftsingenieur Logistik.pdf,True,False,False,True,False,False,False,True
./PDF-files/Wirtschaftsingenieurwesen/94_08-05-2023 Industrial Engineering B.Sc..pdf,True,True,False,True,False,False,True,True
./PDF-files/Wirtschaftsingenieurwesen/464_06.06.2023 Wirtschaftsingenieurwesen - Immobilien.pdf,True,True,True,False,False,True,True,True
./PDF-files/Wirtschaftsingenieurwesen/6_27-04-2023 Ingenieurwissenschaften_Major.pdf,True,False,True,False,False,False,True,False
./PDF-files/Wirtschaftsingenieurwesen/527_12.06.2023 Wirtschaftsingenieurwesen - Produktion und Logistik.pdf,True,False,True,False,False,False,True,False
./PDF-files/Wirtschaftsingenieurwesen/1_27.04.2023 Bauwirtschaftsingenieurwesen.pdf,True,False,False,False,False,False,False,False
./PDF-files/Wirtschaftsingenieurwesen/412_01.06.2023 Wirtschaftsingenieurwesen dual ausbildungsintegrierend.pdf,True,False,True,True,False,False,True,True
./PDF-files/Wirtschaftsingenieurwesen/153_11-05-2023 Produktion und Prozessmanagement.pdf,True,True,True,False,False,False,True,False
./PDF-files/Wirtschaftsingenieurwesen/301_23.05.2023 Wirtschaftsingenieurwesen.pdf,True,True,True,True,False,False,True,True
./PDF-files/Wirtschaftsingenieurwesen/56_04-05-2023d_modulhandbuch_wi_dig.pdf,True,False,False,False,False,False,False,False
./PDF-files/Wirtschaftsingenieurwesen/56_04-05-2023a_modulhandbuch_wi_prod.pdf,True,False,True,False,True,False,True,True
./PDF-files/Wirtschaftsingenieurwesen/549_13.06.2023 Wirtschaftsingenieurwesen Umweltplanung.pdf,True,False,True,False,False,False,True,False
./PDF-files/Wirtschaftsingenieurwesen/292_23.05.2023 Wirtschaftsingenieurwesen.pdf,True,False,True,False,False,False,True,False
